,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
OperatingIncomeLoss,427000000.000,506000000.000,543000000.000,552000000.000,401000000.000,466000000.000,500000000.000,484000000.000,402000000.000,510000000.000,577000000.000,-410000000.000,469000000.000,532000000.000,546000000.000,752000000.000,440000000.000,502000000.000,601000000.000,502000000.000,508000000.000,611000000.000,560000000.000,617000000.000,558000000.000,673000000.000
OtherComprehensiveIncomeAvailableForSaleSecuritiesAdjustmentNetOfTaxPeriodIncreaseDecrease,-2000000.000,1000000.000,-3000000.000,1000000.000,2000000.000,,,,,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeAvailableForSaleSecuritiesTax,1000000.000,,,,,,,,,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeDefinedBenefitPlansAdjustmentNetOfTaxPeriodIncreaseDecrease,-2000000.000,0.000,0.000,-6000000.000,,,,,,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeDefinedBenefitPlansNetUnamortizedGainLossArisingDuringPeriodTax,,,,,0.000,0.000,0.000,-2000000.000,0.000,0.000,0.000,10000000.000,,,,,,,,,,,,,,
OtherComprehensiveIncomeDefinedBenefitPlansTax,1000000.000,,,,,,,,,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeDerivativesQualifyingAsHedgesNetOfTaxPeriodIncreaseDecrease,,,,,8000000.000,,,,,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,28000000.000,8000000.000,-82000000.000,28000000.000,24000000.000,,,,,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,,,,,,,,,-32000000.000,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,,,,,,-1000000.000,1000000.000,,1000000.000,-1000000.000,1000000.000,1000000.000,,2000000.000,3000000.000,,,1000000.000,-2000000.000,,1000000.000,1000000.000,,,1000000.000,1000000.000
OtherComprehensiveIncomeLossBeforeReclassificationsNetOfTax,,,,,,,,,,,,,-47000000.000,,,,-66000000.000,,,,55000000.000,,,,12000000.000,
OtherComprehensiveIncomeLossDerivativesQualifyingAsHedgesNetOfTax,,,,,,-20000000.000,-3000000.000,,-2000000.000,12000000.000,2000000.000,0.000,-6000000.000,4000000.000,,,3000000.000,2000000.000,5000000.000,-1000000.000,7000000.000,2000000.000,2000000.000,1000000.000,2000000.000,2000000.000
