SEC ID,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2
1639947,,,,,,,,,,,,,,,,,,79720000.000,82317000.000,,84543000.000,85662000.000,87291000.000,90408000.000,82831000.000,
1587246,,,,,,,,,,,,,,93722000.000,111016000.000,,94066000.000,90953000.000,96408000.000,89764000.000,73474000.000,72311000.000,81806000.000,70406000.000,64722000.000,
852437,,,21944000.000,22473000.000,22351000.000,22609000.000,21601000.000,21581000.000,26145000.000,13176000.000,18544000.000,24462000.000,25323000.000,23267000.000,20782000.000,22415000.000,23474000.000,20028000.000,,,,,,,,
1548953,,,,,,,0.000,,,984.000,0.000,,0.000,0.000,0.000,,,,,,,,,,,
1103025,,12409000.000,12874000.000,,11980000.000,11620000.000,11539000.000,,,,,,,,,,,,,,,,,,,
897448,,,,,,,,,2341000.000,5500000.000,8403000.000,10107000.000,10967000.000,12606000.000,14149000.000,16480000.000,15933000.000,17707000.000,21483000.000,26633000.000,25543000.000,33111000.000,32734000.000,38696000.000,34637000.000,
1364397,,,,,,,,,,,,,,,,,,,,,,,,,,
1382134,,6300000.000,,,,,,,,,,,,,,,,,,,,,,,,
768890,,,1700000.000,,,,,,,,,,,,,,,,,,,,,,,
1449278,,,,,,,,,,,,,,28715000.000,,,,,,,,,,,,
1364250,,,144059000.000,,,146468000.000,145993000.000,,145458000.000,148716000.000,149686000.000,147676000.000,148876000.000,151426000.000,148146000.000,151091000.000,154809000.000,160457000.000,160077000.000,160431000.000,168572000.000,,192121000.000,,194481000.000,
99780,644200000.000,710500000.000,796800000.000,923600000.000,925300000.000,1028400000.000,937500000.000,920700000.000,932900000.000,1066100000.000,1110300000.000,1256000000.000,1460500000.000,1485300000.000,1562800000.000,1661400000.000,1626700000.000,1676800000.000,1542200000.000,1547000000.000,1187900000.000,1187000000.000,1112100000.000,1103800000.000,877700000.000,904000000.000
1095146,,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,570.000,,,,,,,,,,,
1564822,,,,,,,,,612981000.000,569044000.000,572455000.000,709322000.000,644039000.000,617800000.000,624011000.000,705333000.000,665281000.000,631746000.000,636287000.000,722478000.000,754255000.000,756381000.000,758821000.000,858481000.000,766074000.000,744608000.000
886982,,,,,,,,,,,,,,,,,,,,,,,,,,
859368,164913000.000,190827000.000,184668000.000,180718000.000,201743000.000,196554000.000,180195000.000,,,,,,,,,,,,,,,,,,,
1497645,,,42329705.000,,40005977.000,47280143.000,51233907.000,51021973.000,63211000.000,83096000.000,82174000.000,70477000.000,89544000.000,105525000.000,109256000.000,99141000.000,107648000.000,120677000.000,125091000.000,110039000.000,118082000.000,127195000.000,118336000.000,110322000.000,117989000.000,
