SEC ID,2010,2011,2012,2013,2014,2015,2016
895516,,-3538000.000,2314000.000,,,,
1556276,,,,,,,
1571636,,,,32835787.000,5882906.000,-11064279.000,-6482557.000
746210,,470000.000,-596000.000,-1442000.000,-1184000.000,-489000.000,-2085000.000
68709,,,80511000.000,79955000.000,60256000.000,61496000.000,41763000.000
1477246,,619614.000,-3368268.000,1050014.000,2385878.000,2043414.000,
701345,,426000000.000,856000000.000,,,,
1421289,,,,-888311.000,-2889591.000,,
1135185,,151100000.000,226491000.000,186790000.000,175972000.000,123505000.000,168311000.000
913142,,187006000.000,108497000.000,201262000.000,163119000.000,140553000.000,223853000.000
850209,,437000000.000,610000000.000,664000000.000,805000000.000,837000000.000,1000000000.000
1423824,,,,,8804000.000,-86329000.000,-157858000.000
1162315,,2110000.000,322000.000,-11783000.000,-9335000.000,,
1568427,,,,,,,
1053691,,-16429344.000,,,-14613818.000,-23827032.000,-18371729.000
1450973,,1446852.000,-11508848.000,-7290646.000,-5224759.000,-6205577.000,
1564609,,,,,,,
1396446,,,,,,,
932372,,-9427000.000,-5033000.000,399000.000,890000.000,,
1031223,,,,,,,
1444145,,,,,,,
1045150,,-7614000.000,-5911000.000,,,,
1600694,,,,,,,
1475204,,,,,,,
315374,,17381000.000,22021000.000,13643000.000,21997000.000,23804000.000,19616000.000
24751,,,2088725.000,,,,
710507,,,,,,,
1007273,,,,,,,
1433551,,,,,,,
1042418,,,,-1999809.000,-3937817.000,-3949585.000,-7022202.000
1053650,,54359000.000,12626000.000,48013000.000,31586000.000,41789000.000,53612000.000
1687065,,,,,,,
1596961,,,,,,,
823094,,271471000.000,214419000.000,222575000.000,226044000.000,201721000.000,122616000.000
1267602,,,,,-32947000.000,-38999000.000,-27847000.000
1014111,,-33100000.000,-336100000.000,-20100000.000,-104100000.000,-177300000.000,-35000000.000
1552890,,,,,,,
36270,,,,,,,
1176334,,39676000.000,73835000.000,82672000.000,67871000.000,70153000.000,
1092570,,52210.000,,-158049.000,-152000.000,-38270.000,9269.000
1657564,,,,,,,-22.000
1505371,,,,,,,
1690820,,,,,,,
1013706,,2452000.000,1461000.000,1814000.000,2535000.000,2395000.000,1017000.000
1294538,,21570000.000,,,,,
1348610,,-503079.000,-1037595.000,-1104974.000,-558336.000,,
873185,,-1919974.000,-3926616.000,,,,
1058867,,,,,,,
1305294,,19659000.000,14630000.000,3422000.000,-8876000.000,-11635000.000,
1375348,,,,,,,
105132,,,51729000.000,56637000.000,63737000.000,65390000.000,71348000.000
1482361,,,-6737475.000,-4731729.000,-10916919.000,,
